Equipo,Actividad,Aspecto Ambiental,Impacto ambiental,Magnitud,Frecuencia,Probabilidad,Regulaciones Aplicables,Puntuación total,Significancia (Si/No),Criterio de significancia,Medidas de control/acción,Responsable,Legislación aplicable,Requerimiento legal
B-110,Almacenamiento de cloro gas,Emisión de gases tóxicos,"Contaminación del área de trabajo, intoxicación de los colaboradores",3.0,1.0,2.0,5,30,Si,>10,"Agregar medidor de presión, controlador de presión y válvulas de control y de seguridad, así como sus respectivos planes de mantenimiento. ",Mantenimiento,"NOM-010-STPS-2014, NOM-005-STPS-1998, NOM-018-STPS-2015, NOM-028-STPS-2012","1. Estudio de contaminantes del medio ambiente laboral (POE)
2. HDS en sistema SGA
3. Análisis de Riesgos de Proceso (ARP)
4. Estudio de riesgo por sustancias químicas"
B-110,,Uso de agua para enfriamiento,Generación de aguas residuales,3.0,3.0,3.0,3,81,Si,>10,"Plan de manejo de aguas, implementación de PTAR",Encargado del SGA,"Ley de Aguas Nacionales (LAN), NOM-001-SEMARNAT-2021","1. Título de Concesión (CONAGUA)
2. Permiso de Descarga de Aguas Residuales
3. Análisis de calidad del agua de descarga"
B-120,Almacenamiento de gas hidrógeno,Emisión de gases tóxicos,"Contaminación del área de trabajo, intoxicación de los colaboradores",3.0,1.0,2.0,5,30,Si,>10,"Agregar medidor de presión, controlador de presión y válvulas de control y de seguridad, así como sus respectivos planes de mantenimiento. ",Mantenimiento,"NOM-010-STPS-2014, NOM-005-STPS-1998, NOM-018-STPS-2015, NOM-028-STPS-2012","1. Estudio de contaminantes del medio ambiente laboral (POE)
2. HDS en sistema SGA
3. Análisis de Riesgos de Proceso (ARP)
4. Estudio de riesgo por sustancias químicas"
B-120,,Uso de agua para enfriamiento,Generación de aguas residuales,3.0,3.0,3.0,3,81,Si,>10,"Plan de manejo de aguas, implementación de PTAR",Encargado del SGA,"Ley de Aguas Nacionales (LAN), NOM-001-SEMARNAT-2021","1. Título de Concesión (CONAGUA)
2. Permiso de Descarga de Aguas Residuales
3. Análisis de calidad del agua de descarga"
R-110,Mezclado de gases,Emisión de gases tóxicos,"Contaminación del área de trabajo, intoxicación de los colaboradores y explosiones.",3.0,1.0,1.0,5,15,Si,>10,"Agregar medidores de presión y flujo, control en cascada (presión-flujo), válvulas de control y de seguridad, planes de mantenimiento, bitácora de mantenimiento, implementación de brigadas (contra incendios, primeros auxilios), verificar rutas de evacuación. ",Mantenimiento,"NOM-010-STPS-2014, NOM-005-STPS-1998, NOM-018-STPS-2015, NOM-028-STPS-2012","1. Estudio de contaminantes del medio ambiente laboral (POE)
2. HDS en sistema SGA
3. Análisis de Riesgos de Proceso (ARP)
4. Estudio de riesgo por sustancias químicas"
C-110,Reacción de síntesis de HCl,Emisión de gases tóxicos,"Contaminación del área de trabajo, intoxicación de los colaboradores y explosiones.",3.0,2.0,1.0,7,42,Si,>10,"Agregar medidores de presión, temperatura y flujo, controladores de presión, temperatura y flujo, válvulas de control y de alivio. Planes de mantenimiento y monitoreo, bitácora de mantenimiento, implementación de brigadas (contra incendios y primeros auxilios), plan de simulacros, implementación de señalética para rutas de evacuación, análisis químico periódico de atmosfera laboral, plan de manejo de aguas. ",SGA,"NOM-010-STPS-2014, NOM-005-STPS-1998, NOM-018-STPS-2015, NOM-028-STPS-2012","1. Estudio de contaminantes del medio ambiente laboral (POE)
2. HDS en sistema SGA
3. Análisis de Riesgos de Proceso (ARP)
4. Estudio de riesgo por sustancias químicas"
C-110,,Uso de agua para enfriamiento,Generación de aguas residuales,3.0,3.0,3.0,3,81,Si,>10,"Implementar medidores de flujo, controlador de flujo y válvula de control. Plan de manejo de aguas, PTAR. ",SGA,"Ley de Aguas Nacionales (LAN), NOM-001-SEMARNAT-2021","1. Título de Concesión (CONAGUA)
2. Permiso de Descarga de Aguas Residuales
3. Análisis de calidad del agua de descarga"
C-110,,Generación de residuos (gases),Generación de gases residuales contaminantes,3.0,1.0,3.0,2,18,Si,>10,"Implementar medidores de presión, control de presión, válvula de control, válvula de alivio. Análisis químico de la atmosfera laboral, planes de mantenimiento y monitoreo, ventilación y señalética adecuadas. ",SGA,"LGPGIR y su Reglamento, NOM-052-SEMARNAT-2005","1. Alta de Generador de Residuos Peligrosos (SEMARNAT)
2. Bitácoras y manifiestos de disposición
3. Almacén temporal conforme a Norma"
C-110,,,,,,,,,,,,,,
W-110,Intercambio de calor,Uso de agua para enfriamiento,Generación de aguas residuales contaminantes,3.0,3.0,3.0,3,81,Si,>10,"Implementar medidores de flujo, controladores de flujo y válvula de control de flujo, plan de manejo de aguas, bitacora de mantenimiento y monitoreo, PTAR.",SGA,"Ley de Aguas Nacionales (LAN), NOM-001-SEMARNAT-2021","1. Título de Concesión (CONAGUA)
2. Permiso de Descarga de Aguas Residuales
3. Análisis de calidad del agua de descarga"
